,ASV,#lca rank,#lca taxon,#kingdom,#phylum,#class,#order,#family,#genus,#species,#method,OBIS-family,OBIS-genus,OBIS-FBname,OBIS-DemersPelag,OBIS-AnaCat,OBIS-Importance,Decision,Note
245,ASV321,species,Anarhichas denticulatus,Eukaryota,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,Anarhichas denticulatus,best hit,Anarhichadidae,Anarhichas,Northern wolffish,benthopelagic,oceanodromous,of no interest,,
246,ASV322,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
247,ASV323,species,Fundulus heteroclitus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,best hit,Fundulidae,Fundulus,Mummichog,benthopelagic,non-migratory,commercial,,
248,ASV327,species,Menidia menidia,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,best hit,Atherinopsidae,Menidia,Atlantic silverside,pelagic-neritic,oceanodromous,minor commercial,,
249,ASV328,species,Myoxocephalus thompsonii,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus thompsonii,best hit,NA,NA,NA,NA,NA,NA,,"Doubtful - Deepwater sculpin, unclear if possible in Bras D'or lake"
250,ASV329,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
251,ASV330,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
252,ASV331,genus,Pholis,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,no identification,lca,NA,NA,NA,NA,NA,NA,,
253,ASV334,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
254,ASV335,species,Mallotus villosus,Eukaryota,Chordata,Actinopteri,Osmeriformes,Salangidae,Mallotus,Mallotus villosus,best hit,Osmeridae,Mallotus,Capelin,pelagic-oceanic,anadromous,highly commercial,,
255,ASV336,species,Menidia menidia,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,best hit,Atherinopsidae,Menidia,Atlantic silverside,pelagic-neritic,oceanodromous,minor commercial,,
256,ASV338,species,Apeltes quadracus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Apeltes,Apeltes quadracus,best hit,Gasterosteidae,Apeltes,Fourspine stickleback,benthopelagic,NA,commercial,,
257,ASV339,species,Mallotus villosus,Eukaryota,Chordata,Actinopteri,Osmeriformes,Salangidae,Mallotus,Mallotus villosus,best hit,Osmeridae,Mallotus,Capelin,pelagic-oceanic,anadromous,highly commercial,,
258,ASV340,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
259,ASV344,genus,Gadus,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,no identification,lca,NA,NA,NA,NA,NA,NA,,
260,ASV346,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
261,ASV347,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
262,ASV348,species,Scomberesox saurus,Eukaryota,Chordata,Actinopteri,Beloniformes,Belonidae,Scomberesox,Scomberesox saurus,best hit,Scomberesocidae,Scomberesox,Atlantic saury,pelagic-oceanic,oceanodromous,minor commercial,,
263,ASV350,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
264,ASV351,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
265,ASV353,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
266,ASV355,species,Salmo trutta,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo trutta,best hit,Salmonidae,Salmo,Sea trout,pelagic-neritic,anadromous,commercial,,
267,ASV357,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
268,ASV358,species,Anarhichas denticulatus,Eukaryota,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,Anarhichas denticulatus,best hit,Anarhichadidae,Anarhichas,Northern wolffish,benthopelagic,oceanodromous,of no interest,,
269,ASV360,species,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,best hit,NA,NA,NA,NA,NA,NA,,
270,ASV361,genus,Salvelinus,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,no identification,lca,NA,NA,NA,NA,NA,NA,,
271,ASV362,species,Salvelinus fontinalis x Salvelinus malma,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis x Salvelinus malma,best hit,NA,NA,NA,NA,NA,NA,Salvelinus fontinalis,"malma is Pacific, Brook trout more plausible"
272,ASV364,species,Menidia menidia,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,lca,Atherinopsidae,Menidia,Atlantic silverside,pelagic-neritic,oceanodromous,minor commercial,,
273,ASV365,species,Fundulus heteroclitus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,best hit,Fundulidae,Fundulus,Mummichog,benthopelagic,non-migratory,commercial,,
274,ASV368,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
275,ASV369,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
276,ASV376,species,Clupea pallasii,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,best hit,NA,NA,NA,NA,NA,NA,Clupea harengus,"harengus is the atlantic herring, pallasii is  pacific"
277,ASV378,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
278,ASV379,family,Osmeridae,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,no identification,no identification,lca,NA,NA,NA,NA,NA,NA,,
279,ASV380,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
280,ASV382,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,lca,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
281,ASV383,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
282,ASV384,species,Lontra canadensis,Eukaryota,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,Lontra canadensis,best hit,Mustelidae,Lontra,NA,NA,NA,NA,,
283,ASV388,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
284,ASV390,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
285,ASV393,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
286,ASV395,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
287,ASV397,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
288,ASV400,species,Myoxocephalus aenaeus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus aenaeus,best hit,Cottidae,Myoxocephalus,Grubby,demersal,NA,NA,,
289,ASV401,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
290,ASV406,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
291,ASV408,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
292,ASV412,species,Scomber scombrus,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber scombrus,best hit,Scombridae,Scomber,Atlantic mackerel,pelagic-neritic,oceanodromous,highly commercial,,
293,ASV413,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
294,ASV415,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
295,ASV416,species,Fundulus heteroclitus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,best hit,Fundulidae,Fundulus,Mummichog,benthopelagic,non-migratory,commercial,,
296,ASV417,species,Apeltes quadracus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Apeltes,Apeltes quadracus,best hit,Gasterosteidae,Apeltes,Fourspine stickleback,benthopelagic,NA,commercial,,
297,ASV418,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
298,ASV421,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
299,ASV423,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
300,ASV425,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
301,ASV427,species,Microgadus tomcod,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus tomcod,best hit,Gadidae,Microgadus,Atlantic tomcod,demersal,anadromous,minor commercial,,
302,ASV429,species,Scomber scombrus,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber scombrus,best hit,Scombridae,Scomber,Atlantic mackerel,pelagic-neritic,oceanodromous,highly commercial,,
303,ASV430,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
304,ASV435,genus,Anarhichas,Eukaryota,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,no identification,lca,NA,NA,NA,NA,NA,NA,,
305,ASV436,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
306,ASV437,species,Anguilla rostrata,Eukaryota,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,best hit,Anguillidae,Anguilla,American eel,demersal,catadromous,commercial,,
307,ASV438,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
308,ASV439,species,Scophthalmus aquosus,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus aquosus,best hit,Scophthalmidae,Scophthalmus,Windowpane flounder,demersal,NA,commercial,,
309,ASV440,species,Melanogrammus aeglefinus,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,best hit,Gadidae,Melanogrammus,Haddock,demersal,oceanodromous,highly commercial,,
310,ASV444,species,Microgadus tomcod,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus tomcod,lca,Gadidae,Microgadus,Atlantic tomcod,demersal,anadromous,minor commercial,,
311,ASV445,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
312,ASV448,species,Sus scrofa,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,lca,NA,NA,NA,NA,NA,NA,,
313,ASV449,species,Squalus acanthias,Eukaryota,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias,best hit,Squalidae,Squalus,Picked dogfish,bathydemersal,oceanodromous,commercial,,
314,ASV450,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
315,ASV453,genus,Myoxocephalus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,no identification,lca,NA,NA,NA,NA,NA,NA,,
316,ASV456,species,Castor canadensis,Eukaryota,Chordata,Mammalia,Rodentia,Castoridae,Castor,Castor canadensis,best hit,NA,NA,NA,NA,NA,NA,,
317,ASV457,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
318,ASV459,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
319,ASV461,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
320,ASV462,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
321,ASV463,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
322,ASV464,species,Myoxocephalus aenaeus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus aenaeus,best hit,Cottidae,Myoxocephalus,Grubby,demersal,NA,NA,,
323,ASV465,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
324,ASV472,species,Salmo trutta,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo trutta,best hit,Salmonidae,Salmo,Sea trout,pelagic-neritic,anadromous,commercial,,
325,ASV474,genus,Ammodytes,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,no identification,lca,NA,NA,NA,NA,NA,NA,,
326,ASV475,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
327,ASV477,species,Fundulus heteroclitus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,lca,Fundulidae,Fundulus,Mummichog,benthopelagic,non-migratory,commercial,,
328,ASV479,genus,Myoxocephalus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,no identification,lca,NA,NA,NA,NA,NA,NA,,
329,ASV480,species,Melanogrammus aeglefinus,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,best hit,Gadidae,Melanogrammus,Haddock,demersal,oceanodromous,highly commercial,,
330,ASV482,species,Menidia menidia,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,best hit,Atherinopsidae,Menidia,Atlantic silverside,pelagic-neritic,oceanodromous,minor commercial,,
331,ASV483,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
332,ASV485,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,lca,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
333,ASV486,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,lca,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
334,ASV487,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,NA,NA,NA,NA,NA,NA,,
335,ASV488,species,Alosa pseudoharengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Alosa pseudoharengus,best hit,Alosidae,Alosa,Alewife,pelagic-neritic,anadromous,commercial,,
336,ASV490,species,Anguilla rostrata,Eukaryota,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,lca,Anguillidae,Anguilla,American eel,demersal,catadromous,commercial,,
337,ASV491,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
338,ASV492,species,Scomber scombrus,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber scombrus,best hit,Scombridae,Scomber,Atlantic mackerel,pelagic-neritic,oceanodromous,highly commercial,,
339,ASV493,species,Alosa aestivalis,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Alosa aestivalis,best hit,Alosidae,Alosa,Blueback shad,pelagic-neritic,anadromous,commercial,,
340,ASV494,species,Scomberesox saurus,Eukaryota,Chordata,Actinopteri,Beloniformes,Belonidae,Scomberesox,Scomberesox saurus,best hit,Scomberesocidae,Scomberesox,Atlantic saury,pelagic-oceanic,oceanodromous,minor commercial,,
341,ASV496,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
342,ASV497,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
343,ASV498,genus,Sebastes,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,no identification,lca,NA,NA,NA,NA,NA,NA,,
344,ASV499,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
345,ASV503,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
346,ASV506,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
347,ASV507,species,Urophycis chuss,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Urophycis,Urophycis chuss,best hit,Phycidae,Urophycis,Red hake,demersal,oceanodromous,commercial,,
348,ASV508,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
349,ASV509,species,Sus scrofa,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,best hit,NA,NA,NA,NA,NA,NA,,
350,ASV511,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
351,ASV514,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
352,ASV515,species,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,best hit,NA,NA,NA,NA,NA,NA,,
353,ASV516,species,Menidia menidia,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,best hit,Atherinopsidae,Menidia,Atlantic silverside,pelagic-neritic,oceanodromous,minor commercial,,
354,ASV520,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
355,ASV521,species,Glyptocephalus cynoglossus,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus cynoglossus,best hit,Pleuronectidae,Glyptocephalus,Witch flounder,demersal,oceanodromous,commercial,,
356,ASV522,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
357,ASV523,species,Sus scrofa,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,best hit,NA,NA,NA,NA,NA,NA,,
358,ASV524,family,Gadidae,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,no identification,no identification,lca,NA,NA,NA,NA,NA,NA,,
359,ASV525,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
360,ASV526,genus,Ammodytes,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,no identification,lca,NA,NA,NA,NA,NA,NA,,
361,ASV530,species,Mallotus villosus,Eukaryota,Chordata,Actinopteri,Osmeriformes,Salangidae,Mallotus,Mallotus villosus,best hit,Osmeridae,Mallotus,Capelin,pelagic-oceanic,anadromous,highly commercial,,
362,ASV536,species,Catostomus commersonii,Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii,best hit,Catostomidae,Catostomus,White sucker,demersal,NA,minor commercial,,
363,ASV537,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,lca,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
364,ASV543,species,Melanogrammus aeglefinus,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,best hit,Gadidae,Melanogrammus,Haddock,demersal,oceanodromous,highly commercial,,
365,ASV546,family,Osmeridae,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,no identification,no identification,lca,NA,NA,NA,NA,NA,NA,,
366,ASV547,species,Balaenoptera acutorostrata,Eukaryota,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata,best hit,Balaenopteridae,Balaenoptera,NA,NA,NA,NA,,
367,ASV551,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
368,ASV552,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,lca,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
369,ASV554,family,Pleuronectidae,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,no identification,no identification,lca,NA,NA,NA,NA,NA,NA,,
370,ASV561,species,Apeltes quadracus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Apeltes,Apeltes quadracus,lca,Gasterosteidae,Apeltes,Fourspine stickleback,benthopelagic,NA,commercial,,
371,ASV562,species,Liparis inquilinus,Eukaryota,Chordata,Actinopteri,Perciformes,Liparidae,Liparis,Liparis inquilinus,best hit,Liparidae,Liparis,Inquiline snailfish,demersal,NA,NA,,
