"","ASV","#lca rank","#lca taxon","#kingdom","#phylum","#class","#order","#family","#genus","#species","#method","tax_status","family","genus","FBname","DemersPelag","AnaCat","Importance"
"238","ASV335","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Has data","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"239","ASV336","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Has data","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"240","ASV338","species","Apeltes quadracus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","best hit","Has data","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial"
"241","ASV339","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Has data","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"242","ASV340","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"243","ASV344","genus","Gadus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"244","ASV346","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"245","ASV347","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"246","ASV348","species","Scomberesox saurus","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Scomberesox","Scomberesox saurus","best hit","Has data","Scomberesocidae","Scomberesox","Atlantic saury","pelagic-oceanic","oceanodromous","minor commercial"
"247","ASV350","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"248","ASV351","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Has data","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"249","ASV353","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"250","ASV355","species","Salmo trutta","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta","best hit","Has data","Salmonidae","Salmo","Sea trout","pelagic-neritic","anadromous","commercial"
"251","ASV357","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"252","ASV358","species","Anarhichas denticulatus","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus","best hit","Has data","Anarhichadidae","Anarhichas","Northern wolffish","benthopelagic","oceanodromous","of no interest"
"253","ASV361","genus","Salvelinus","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"254","ASV362","species","Salvelinus fontinalis x Salvelinus malma","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis x Salvelinus malma","best hit","Has data",NA,NA,NA,NA,NA,NA
"255","ASV364","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","lca","Has data","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"256","ASV365","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"257","ASV368","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"258","ASV369","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"259","ASV376","species","Clupea pallasii","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","best hit","Has data",NA,NA,NA,NA,NA,NA
"260","ASV378","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Has data","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"261","ASV379","family","Osmeridae","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"262","ASV380","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"263","ASV382","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","lca","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"264","ASV383","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"265","ASV388","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"266","ASV390","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"267","ASV393","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"268","ASV395","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"269","ASV397","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"270","ASV400","species","Myoxocephalus aenaeus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","best hit","Has data","Cottidae","Myoxocephalus","Grubby","demersal",NA,NA
"271","ASV401","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"272","ASV406","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"273","ASV408","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"274","ASV412","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Has data","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"275","ASV413","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"276","ASV415","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"277","ASV416","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"278","ASV417","species","Apeltes quadracus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","best hit","Has data","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial"
"279","ASV418","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Has data","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"280","ASV421","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"281","ASV423","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"282","ASV425","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"283","ASV427","species","Microgadus tomcod","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Microgadus","Microgadus tomcod","best hit","Has data","Gadidae","Microgadus","Atlantic tomcod","demersal","anadromous","minor commercial"
"284","ASV429","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Has data","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"285","ASV430","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"286","ASV435","genus","Anarhichas","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"287","ASV436","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"288","ASV437","species","Anguilla rostrata","Eukaryota","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","best hit","Has data","Anguillidae","Anguilla","American eel","demersal","catadromous","commercial"
"289","ASV438","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"290","ASV439","species","Scophthalmus aquosus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","best hit","Has data","Scophthalmidae","Scophthalmus","Windowpane flounder","demersal",NA,"commercial"
"291","ASV440","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Has data","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial"
"292","ASV444","species","Microgadus tomcod","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Microgadus","Microgadus tomcod","lca","Has data","Gadidae","Microgadus","Atlantic tomcod","demersal","anadromous","minor commercial"
"293","ASV445","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"294","ASV449","species","Squalus acanthias","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias","best hit","Has data","Squalidae","Squalus","Picked dogfish","bathydemersal","oceanodromous","commercial"
"295","ASV450","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"296","ASV453","genus","Myoxocephalus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"297","ASV457","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"298","ASV459","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"299","ASV461","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"300","ASV462","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"301","ASV463","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"302","ASV464","species","Myoxocephalus aenaeus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","best hit","Has data","Cottidae","Myoxocephalus","Grubby","demersal",NA,NA
"303","ASV465","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"304","ASV472","species","Salmo trutta","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta","best hit","Has data","Salmonidae","Salmo","Sea trout","pelagic-neritic","anadromous","commercial"
"305","ASV474","genus","Ammodytes","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"306","ASV475","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"307","ASV477","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","lca","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"308","ASV479","genus","Myoxocephalus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"309","ASV480","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Has data","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial"
"310","ASV482","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Has data","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"311","ASV483","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"312","ASV485","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","lca","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"313","ASV486","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","lca","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"314","ASV488","species","Alosa pseudoharengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus","best hit","Has data","Alosidae","Alosa","Alewife","pelagic-neritic","anadromous","commercial"
"315","ASV490","species","Anguilla rostrata","Eukaryota","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","lca","Has data","Anguillidae","Anguilla","American eel","demersal","catadromous","commercial"
"316","ASV491","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"317","ASV492","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Has data","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"318","ASV493","species","Alosa aestivalis","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa aestivalis","best hit","Has data","Alosidae","Alosa","Blueback shad","pelagic-neritic","anadromous","commercial"
"319","ASV494","species","Scomberesox saurus","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Scomberesox","Scomberesox saurus","best hit","Has data","Scomberesocidae","Scomberesox","Atlantic saury","pelagic-oceanic","oceanodromous","minor commercial"
"320","ASV496","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"321","ASV497","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"322","ASV498","genus","Sebastes","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"323","ASV499","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"324","ASV503","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"325","ASV506","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"326","ASV507","species","Urophycis chuss","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chuss","best hit","Has data","Phycidae","Urophycis","Red hake","demersal","oceanodromous","commercial"
"327","ASV508","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"328","ASV511","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"329","ASV514","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"330","ASV516","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Has data","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"331","ASV520","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"332","ASV521","species","Glyptocephalus cynoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","best hit","Has data","Pleuronectidae","Glyptocephalus","Witch flounder","demersal","oceanodromous","commercial"
"333","ASV522","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"334","ASV524","family","Gadidae","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"335","ASV525","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"336","ASV526","genus","Ammodytes","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"337","ASV530","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Has data","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"338","ASV536","species","Catostomus commersonii","Eukaryota","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii","best hit","Has data","Catostomidae","Catostomus","White sucker","demersal",NA,"minor commercial"
"339","ASV537","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","lca","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"340","ASV543","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Has data","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial"
"341","ASV546","family","Osmeridae","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"342","ASV551","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"343","ASV552","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","lca","Has data","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"344","ASV554","family","Pleuronectidae","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"345","ASV561","species","Apeltes quadracus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","lca","Has data","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial"
"346","ASV562","species","Liparis inquilinus","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis inquilinus","best hit","Has data","Liparidae","Liparis","Inquiline snailfish","demersal",NA,NA
"347","ASV563","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","lca","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"348","ASV565","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"349","ASV572","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Has data","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial"
"350","ASV574","family","Pleuronectidae","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"351","ASV580","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"352","ASV581","species","Catostomus commersonii","Eukaryota","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii","lca","Has data","Catostomidae","Catostomus","White sucker","demersal",NA,"minor commercial"
"353","ASV582","genus","Sebastes","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"354","ASV587","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"355","ASV590","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"356","ASV592","genus","Gadus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA
"357","ASV607","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"358","ASV608","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"359","ASV611","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
